State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,6:00,1/5/18,12:00,0.403,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,7:00,1/5/18,13:00,0.475,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,8:00,1/5/18,14:00,0.544,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,9:00,1/5/18,15:00,0.28,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,10:00,1/5/18,16:00,0.219,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,11:00,1/5/18,17:00,0.208,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,12:00,1/5/18,18:00,0.209,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,13:00,1/5/18,19:00,0.267,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,14:00,1/5/18,20:00,0.239,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,15:00,1/5/18,21:00,0.271,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,16:00,1/5/18,22:00,0.246,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,17:00,1/5/18,23:00,0.478,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,18:00,1/6/18,0:00,0.589,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,19:00,1/6/18,1:00,0.407,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,20:00,1/6/18,2:00,0.374,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,21:00,1/6/18,3:00,0.586,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,22:00,1/6/18,4:00,0.552,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/5/18,23:00,1/6/18,5:00,0.74,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,0:00,1/6/18,6:00,0.376,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,1:00,1/6/18,7:00,0.362,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,2:00,1/6/18,8:00,0.584,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,3:00,1/6/18,9:00,0.872,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,4:00,1/6/18,10:00,0.514,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,5:00,1/6/18,11:00,0.663,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,6:00,1/6/18,12:00,0.634,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,7:00,1/6/18,13:00,0.45,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,8:00,1/6/18,14:00,0.524,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,9:00,1/6/18,15:00,0.613,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,10:00,1/6/18,16:00,0.292,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,11:00,1/6/18,17:00,0.243,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,12:00,1/6/18,18:00,0.38,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,13:00,1/6/18,19:00,0.405,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,14:00,1/6/18,20:00,0.505,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,15:00,1/6/18,21:00,0.216,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,16:00,1/6/18,22:00,0.26,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,17:00,1/6/18,23:00,0.382,Parts per million
17,31,4201,42101,1,42.139996,-87.799227,WGS84,Carbon monoxide,1/6/18,18:00,1/7/18,0:00,0.464,Parts per million
